e5_weight,mbert_weight,alpha,raw_macro_f1,raw_non_au_macro_f1,soft_au_macro_f1,delta_vs_b4,delta_raw_vs_current_raw,delta_non_au_vs_current,half1_macro_f1,half2_macro_f1,half_gap_abs
1.4,0.6,0.9,0.7207879482748873,0.7337775817359823,0.737137910341583,-0.0016343709236372739,-0.001757876945996495,-0.0018982789280406198,0.7298787284468385,0.7440828791190981,0.014204150672259552
1.35,0.65,0.9,0.7210295181122196,0.7339879135214031,0.7372565881443036,-0.0015156931209167057,-0.0015163071086642388,-0.0016879471426197723,0.7297885010908625,0.7444277475830473,0.014639246492184843
1.3,0.7,0.9,0.721453341562745,0.7344677876324166,0.7376975539827706,-0.0010747272824497278,-0.0010924836581388542,-0.0012080730316063049,0.729727289300867,0.7453855329684306,0.01565824366756352
1.25,0.75,0.9,0.7216919043058826,0.7347667209444145,0.7380626969944436,-0.0007095842707767197,-0.0008539209150012494,-0.0009091397196083761,0.7300079580511681,0.745904748235389,0.015896790184220855
1.2,0.8,0.9,0.7225458252208838,0.7356758606640229,0.7387722812652203,0.0,0.0,0.0,0.7308124360760131,0.7464734262485979,0.01566099017258482
1.15,0.85,0.9,0.7226307868517565,0.7359677288514506,0.739045706327059,0.00027342506183869464,8.496163087268194e-05,0.0002918681874276574,0.7306962222510649,0.7471228705663292,0.016426648315264303
1.1,0.9,0.9,0.7220894005462853,0.7354314840223536,0.7385580932994461,-0.00021418796577421517,-0.000456424674598499,-0.0002443766416693194,0.7302668924234924,0.7465591586696972,0.016292266246204834
1.05,0.95,0.9,0.7217779357544953,0.7350335086618277,0.7381265237501456,-0.0006457575150746742,-0.000767889466388505,-0.0006423520021952012,0.7299413715540076,0.7460677667311498,0.016126395177142205
1.0,1.0,0.9,0.7219261503014531,0.7351098227882488,0.7381896837512046,-0.0005825975140156814,-0.0006196749194307127,-0.0005660378757741391,0.7296072221153889,0.7466192040436054,0.017011981928216513
