alpha,macro_f1,au_macro_f1,non_au_macro_f1,delta_vs_b4,changed_au_vs_4way,half1_macro_f1,half2_macro_f1,half_gap_abs
0.7,0.7315016693333753,0.63882712636038,0.7356758606640229,-0.0072706119318449725,132,0.7242165357530898,0.7384262427549979,0.014209707001908156
0.75,0.7337154223004612,0.6695006270219789,0.7356758606640229,-0.005056858964759159,158,0.725983262541022,0.7411108165818432,0.015127554040821223
0.8,0.7349573885929231,0.691782917192355,0.7356758606640229,-0.0038148926722971765,187,0.7266237559183025,0.7429616279492863,0.016337872030983802
0.85,0.7366263193723939,0.7235014081645429,0.7356758606640229,-0.0021459618928264534,217,0.7288170858667281,0.7441596236961704,0.015342537829442282
0.9,0.7387722812652203,0.7701676075636106,0.7356758606640229,0.0,266,0.7308124360760131,0.7464734262485979,0.01566099017258482
0.95,0.7383836149905477,0.7736080167562146,0.7356758606640229,-0.00038866627467259995,327,0.7305913866195635,0.7459618527948183,0.015370466175254838
1.0,0.735747063083223,0.7441575323712037,0.7356758606640229,-0.0030252181819973023,384,0.7273103630472851,0.7439575610483141,0.016647198001028984
