fold,n_train,n_valid,n_train_groups,n_valid_groups,valid_explore_rate,stage1_family_macro_f1,stage1_explore_precision,stage1_explore_recall
1,56000,14000,7545,1884,0.4112142857142857,0.984548090288451,0.9853658536585366,0.9824561403508772
2,56000,14000,7542,1887,0.4112142857142857,0.9850365910759726,0.9889551192145862,0.9798506166406116
3,56000,14000,7546,1883,0.4110714285714286,0.983623898001147,0.9863969305894664,0.982797567332754
4,56000,14000,7548,1881,0.4111428571428571,0.981927439753702,0.983109872888734,0.9808895066018068
5,56000,14000,7535,1894,0.4112142857142857,0.9837312073171668,0.9855123058125328,0.9807191245440332
