variant,feature_kind,ngram,max_features,C,oof_macro_f1,league_macro_f1,delta_vs_baseline_soft_au,decision,half1_macro_f1,half2_macro_f1,lin_argmax_disagreement_vs_reference
char_2-5_mf120k_C1,char,2-5,120000,1.0,0.6200625145040765,0.7382596868267123,-0.0005125944385080405,discard,0.7305017472607821,0.7457088371752691,0.2684321396328619
char_3-5_mf120k_C1,char,3-5,120000,1.0,0.6181726012618836,0.7381806670097973,-0.0005916142554229786,discard,0.7307590895218542,0.7453420862053458,0.26943524927274554
char_2-4_mf120k_C1,char,2-4,120000,1.0,0.6160130476493579,0.7379330845973827,-0.000839196667837605,discard,0.7302905633554186,0.745248432886889,0.27204333433644295
char_3-5_mf120k_C2,char,3-5,120000,2.0,0.6133499497834184,0.737881684008271,-0.0008905972569492882,discard,0.7299284995340163,0.7456410059633416,0.2825759855552212
char_3-5_mf120k_C0.5,char,3-5,120000,0.5,0.6185527483646053,0.737865210208289,-0.0009070710569313301,discard,0.7293301481507947,0.7460750111331285,0.2611094392617113
union_2-5_mf120k_C1,word_char,2-5,120000,1.0,0.6174525425110927,0.7377164760519833,-0.0010558052132370044,discard,0.7305962836168419,0.7446140237105803,0.27625639482395425
union_3-5_mf120k_C1,word_char,3-5,120000,1.0,0.6164445985087523,0.7376548153034832,-0.0011174659617371185,discard,0.7302363402224664,0.7448564953494575,0.27635670578794264
char_3-5_mf200k_C1,char,3-5,200000,1.0,0.6179552326859754,0.7375895211578669,-0.0011827601073534089,discard,0.730126460995445,0.7447848470488209,0.26943524927274554
char_3-5_mf300k_C1,char,3-5,300000,1.0,0.6177848799721921,0.7375895211578669,-0.0011827601073534089,discard,0.730126460995445,0.7447848470488209,0.26993680409268733
