variant,macro_f1,au_macro_f1,sim_macro_f1,changed_vs_blend4,delta_vs_reference
linear,0.6676495541547487,0.5437194780232661,0.6728573513699703,1967,-0.05489627106613515
stacker_final,0.7056611366010784,0.49198778939962345,0.7169940179744462,1096,-0.01688468861980541
e5,0.7050885469078851,0.5086999163924154,0.7169022797711165,536,-0.017457278312998703
mbert,0.6714717932286964,0.43442024523613126,0.6875269145506193,1082,-0.05107403199218741
blend3_sanity,0.7172592174830689,0.5138063966844043,0.729706584336556,264,-0.0052866077378149745
blend4,0.7225458252208838,0.511765002680003,0.7356758606640229,0,0.0
stacker_final_soft_au_a0.9,0.7195626416902859,0.7438324599425236,0.7169940179744462,1247,-0.0029831835305978993
blend4_soft_au_a0.9,0.7387722812652203,0.7701676075636106,0.7356758606640229,266,0.01622645604433648
